Temperature,L,R,A_M,Color,Spectral_Class,Type,Absolute_Radius_km
12984,0.00088,0.00996,11.23,Blue White,B,2,6935.5464
29560,188000.0,6.02,-4.01,Blue-white,B,3,4191966.8
8945,38.0,2.487,0.12,Blue-White,A,3,1731797.58
14060,1092.0,5.745,-2.04,Blue-white,A,3,4000473.3000000003
16390,1278.0,5.68,-3.32,Blue-white,B,3,3955211.1999999997
25070,14500.0,5.92,-3.98,Blue-white,B,3,4122332.8
28700,16790.0,6.4,-4.09,Blue-white,B,3,4456576.0
26140,14520.0,5.49,-3.8,Blue-white,B,3,3822906.6
20120,4720.0,6.78,-3.4,Blue-white,B,3,4721185.2
13023,998.0,6.21,-1.38,Blue-white,A,3,4324271.4
37800,202900.0,6.86,-4.56,Blue,O,3,4776892.4
25390,223000.0,57.0,-5.92,Blue,O,4,39691380.0
11567,251000.0,36.0,-6.245,Blue,O,4,25068240.0
12675,452000.0,83.0,-5.62,Blue,O,4,57796220.0
5752,245000.0,97.0,-6.63,Blue,O,4,67544980.0
8927,239000.0,35.0,-7.34,Blue,O,4,24371900.0
7282,131000.0,24.0,-7.22,Blue,O,4,16712160.0
19923,152000.0,73.0,-5.69,Blue,O,4,50832820.0
26373,198000.0,39.0,-5.83,Blue,O,4,27157260.0
17383,342900.0,30.0,-6.09,Blue,O,4,20890200.0
9373,424520.0,24.0,-5.99,Blue,O,4,16712160.0
3570,320000.0,1480.0,-7.58,Red,M,5,1030583200.0
3500,138000.0,1420.0,-8.18,Red,M,5,988802800.0
4287,630000.0,1315.0,-9.2,Orange,K,5,915687100.0
26000,316000.0,1679.0,-9.1,Blue,B,5,1169154860.0
3600,240000.0,1190.0,-7.89,Red,M,5,828644600.0
3614,145000.0,1553.0,-7.71,Red,M,5,1081416020.0
18000,200000.0,1045.0,-8.3,Blue,O,5,727675300.0
11000,170000.0,1779.0,-9.9,Blue-white,B,5,1238788860.0
12100,120000.0,708.9,-7.84,Blue-white,B,5,493635426.0
24490,248490.0,1134.5,-8.24,Blue-white,B,5,789997730.0
2831,0.000231,0.0915,16.21,Red,M,0,63715.11
2914,0.000631,0.116,18.39,Red,M,0,80775.44
3419,0.000245,0.126,17.56,Red,M,0,87738.84
3218,0.000452,0.0987,17.34,Red,M,0,68728.758
3453,0.000621,0.0773,17.08,Red,M,0,53827.081999999995
2889,0.000352,0.0973,16.93,Red,M,0,67753.882
2968,0.000461,0.119,17.45,Red,M,0,82864.45999999999
3484,0.000551,0.0998,16.67,Red,M,0,69494.732
2778,0.000849,0.112,19.45,Red,M,0,77990.08
3523,0.000957,0.129,16.35,Red,M,0,89827.86
3462,0.0053,0.148,11.47,Red,M,1,103058.31999999999
3257,0.0024,0.46,10.73,Red,M,1,320316.4
2994,0.0072,0.28,13.45,Red,M,1,194975.2
3212,0.0016,0.378,12.854,Red,M,1,263216.52
3523,0.0054,0.319,12.43,Red,M,1,222132.46
3598,0.0027,0.67,13.667,Red,M,1,466547.80000000005
3142,0.00132,0.258,14.12,Red,M,1,179655.72
3496,0.00125,0.336,14.94,Red,M,1,233970.24000000002
3324,0.0065,0.471,12.78,Red,M,1,327976.13999999996
3463,0.0027,0.675,14.776,Red,M,1,470029.50000000006
16790,0.0014,0.0121,12.87,Blue,B,2,8425.714
15680,0.00122,0.0114,11.92,Blue,B,2,7938.276
14982,0.00118,0.0113,12.23,Blue,B,2,7868.642
13340,0.00109,0.0116,12.9,Blue,B,2,8077.544
18340,0.00134,0.0124,11.22,Blue,B,2,8634.616
19920,0.00156,0.0142,11.34,Blue,B,2,9888.028
24020,0.00159,0.0127,10.55,Blue,B,2,8843.518
23092,0.00132,0.0104,10.18,Blue,B,2,7241.936
17920,0.00111,0.0106,11.66,Blue,B,2,7381.204
19360,0.00125,0.00998,11.62,Blue,B,2,6949.473199999999
22350,12450.0,6.36,-3.67,Blue-white,B,3,4428722.4
10012,552.0,5.856,0.013,Blue-white,A,3,4077767.04
13089,788.0,5.992,-0.12,Blue-white,A,3,4172469.28
22012,6748.0,6.64,-2.55,Blue-white,B,3,4623697.6
34190,198200.0,6.39,-4.57,Blue,O,3,4449612.6
32460,173800.0,6.237,-4.36,Blue,O,3,4343072.58
9320,29.0,1.91,1.236,Blue-white,A,3,1330009.4
19400,10920.0,6.03,-3.08,Blue-white,B,3,4198930.2
17140,883.0,5.653,-2.64,Blue-white,B,3,3936410.0199999996
8250,9.25,1.93,-0.98,yellow-white,F,3,1343936.2
23678,244290.0,35.0,-6.27,Blue,O,4,24371900.0
12749,332520.0,76.0,-7.02,Blue,O,4,52921840.0
9383,342940.0,98.0,-6.98,Blue,O,4,68241320.0
23440,537430.0,81.0,-5.975,Blue,O,4,56403540.0
16787,246730.0,62.0,-6.35,Blue,O,4,43173080.0
18734,224780.0,46.0,-7.45,Blue,O,4,32031640.0
9892,593900.0,80.0,-7.262,Blue,O,4,55707200.0
10930,783930.0,25.0,-6.224,Blue,O,4,17408500.0
23095,347820.0,86.0,-5.905,Blue,O,4,59885240.0
21738,748890.0,92.0,-7.346,Blue,O,4,64063280.0
24145,382993.0,1494.0,-8.84,Blue-white,B,5,1040331960.0
38234,272830.0,1356.0,-9.29,Blue,O,5,944237040.0
32489,648430.0,1948.5,-10.84,Blue,O,5,1356818490.0
27739,849420.0,1252.0,-7.59,Blue-white,B,5,871817680.0
21904,748490.0,1130.0,-7.67,Blue-white,B,5,786864200.0
38940,374830.0,1356.0,-9.93,Blue,O,5,944237040.0
30839,834042.0,1194.0,-10.63,Blue,O,5,831429960.0
8829,537493.0,1423.0,-10.73,White,A,5,990891820.0
9235,404940.0,1112.0,-11.23,White,A,5,774330080.0
37882,294903.0,1783.0,-7.8,Blue,O,5,1241574220.0
